Compound,Reg,HA
16-HETE,Decreased,-0.13287
Myristoylcarnitine,Increased,0.1049
Propionylcarnitine,Increased,0.02797
Octadecenoic acid,Increased,0.37063
Methyladenosine,Decreased,-0.58042
Oleoylglycerophosphoinositol,Decreased,-0.36364
2-AMINOETHYL DIHYDROGEN PHOSPHATE,Increased,0.41259
Docosapentaenoic acid,Increased,0.11888
4-AMINOBUTANOIC ACID,Decreased,-0.5035
4-O-Galactopyranosylxylose,Decreased,-0.04196
5-AMINOPENTANOATE,Decreased,-0.12587
5-Hydroxyindoleacetic acid,Increased,0.01399
5-Methyldeoxycytidine,Decreased,-0.02797
5'-METHYLTHIOADENOSINE,Increased,0.13986
9-Octadecenal,Decreased,-0.24476
Eicosatrienoic acid,Increased,0.54545
12-HYDROXYDODECANOIC ACID,Decreased,-0.06993
13-hydroxyoctadecanoic acid,Increased,0.05594
14-Hydroperoxy-H4-neuroprostane,Increased,0.4965
"17,21-DIHYDROXY-4-PREGNENE-3,20-DIONE",Decreased,-0.18182
Trihydroxyvitamin D3,Decreased,-0.09091
Acetylcarnitine,Decreased,-0.13287
Acetylcholine,Increased,0.3986
ADENINE,Decreased,-0.08392
ADENOSINE,Increased,0.24476
Adrenic acid,Increased,0.00699
ALANINE,Increased,0.13986
Arachidonic acid ethyl ester,Decreased,-0.16783
ARGININE,Decreased,-0.16084
Argininosuccinic acid,Increased,0.02797
AZELAIC ACID,Decreased,-0.20979
C16 Sphingosine,Decreased,-0.09091
Campesterol,Decreased,-0.02452
CARNOSINE,Decreased,-0.13287
Cer(18:1/18:0),Decreased,-0.77622
Cholesterol,Decreased,-0.18881
CITRATE,Increased,0.18182
CITRULLINE,Decreased,-0.41259
CMP,Increased,0.13287
CREATINE,Decreased,-0.0979
Cysteineglutathione disulfide,Increased,0.32168
CYTIDINE,Decreased,-0.04895
Cytidine diphosphate choline (CDPcholine),Increased,0.63636
CYTOSINE,Decreased,-0.23077
D-Aspartic acid,Decreased,-0.04895
DEOXYCARNITINE,Increased,0.54545
DESMOSTEROL,Increased,0.3007
DG(16:0/18:0/0:0),Decreased,-0.01399
DG(20:2/0:0/22:6),Increased,0.4965
DG(20:4/24:0/0:0),Decreased,-0.23077
DG(22:0/0:0/20:4),Decreased,-0.0979
Docosatrienoic acid,Increased,0.27273
Dodecanoic acid,Decreased,-0.44755
D-PANTOTHENIC ACID,Increased,0.22378
dUMP,Increased,0.56643
Ergothioneine,Increased,0.23776
gamma-Glutamylglutamic acid,Increased,0.08392
GLUTAMIC ACID,Increased,0.02797
L-GLUTAMINE,Increased,0.13287
GLUTATHIONE,Increased,0.48951
Glycerophosphocholine,Increased,0.36364
GLYCINE,Increased,0.18182
GLYCOCHOLATE,Decreased,-0.18182
GUANINE,Decreased,-0.29371
Guanosine,Increased,0.32867
HISTIDINE,Decreased,-0.23077
Homoanserine,Increased,0.06993
HYPOXANTHINE,Decreased,-0.22378
INOSINE,Decreased,-0.3986
JASMONATE,Increased,0.16783
L-AMINOCYCLOPROPANE-1-CARBOXYLATE,Decreased,-0.51748
LAUROYLCARNITINE,Increased,0.00699
LEUCINE,Increased,0.29371
Linolenelaidic acid,Decreased,-0.11189
Methionine,Increased,0.21678
L-OLEOYL-RAC-GLYCEROL,Increased,0.51049
LYSINE,Increased,0.72727
LysoPA(0:0/16:0),Decreased,-0.5035
LysoPC(14:0/0:0),Increased,0.06993
LysoPC(16:1/0:0),Increased,0.43357
LysoPC(18:0),Increased,0.07692
LysoPC(18:1),Increased,0.13287
LysoPC(18:2),Increased,0.22378
LysoPC(20:4),Decreased,-0.46154
LysoPC(22:6),Decreased,-0.81119
LysoPE(0:0/20:0),Decreased,-0.41958
LysoPE(0:0/20:1),Increased,0.57343
LysoPE(0:0/22:0),Increased,0.02797
