Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
1,1.260147154,3.401297075,0.500993721,0.783919298,0.964137923,0.462372857,0.660670739,0.3575928,1.099617958,0.723970082,0.414429333,2.11950605,0.507398222,0.62149672,0.81123916,1.239354897,0.979802918,0.785648921,0.471604106
2,0.956925276,1.082819777,0.733474247,1.021746578,0.61707924,0.686858411,1.043521772,0.930380608,1.151767986,1.48407677,0.992594072,1.240913065,0.858173573,0.874227355,0.933329565,1.015803997,0.872217517,1.125715137,1.059177861
3,0.870698819,0.422294294,0.948610291,0.998634525,1.000732009,1.016435831,0.482776036,0.510469563,0.890427209,0.80278671,0.564347607,0.417462742,0.519154302,0.550738841,1.100421893,0.7235365,0.791449349,1.549401113,1.599486045
4,1.003790093,0.866955327,0.601696246,1.192503393,0.419886568,0.994705709,0.858692704,1.074691927,0.780893702,1.753671568,1.093421277,1.632711894,1.981331638,1.396498932,0.821142727,0.792324936,0.746398607,0.707468723,1.192107372
5,0.927159804,1.013793169,0.832502296,0.856144251,1.347740724,1.011758935,0.922888543,0.972960558,1.170020037,1.281251675,0.811812168,0.949134563,0.834317477,0.978837662,0.76641507,1.134990788,1.008226267,0.716640085,0.92777702
6,1.012809808,0.997247491,0.786676729,0.83237707,0.977995033,0.795755687,0.867443055,1.038443515,1.037676897,1.176607428,0.782323592,0.960421776,0.919585958,0.903644833,0.917327829,0.928537792,0.9545128,0.85598821,0.907354616
7,1.1185581,0.64345053,0.44110207,0.574609374,0.74819685,0.515310244,0.982944998,1.238024914,0.295366224,0.791384708,0.772896316,0.540502269,0.793325849,0.788599417,0.649579573,1.303607365,0.889015501,0.4753987,0.776377789
8,0.529430887,0.755752201,0.3349487,1.185454889,0.596708294,1.904171707,0.658804464,1.182199511,0.111852039,1.596445636,1.322993782,2.390305591,1.138254863,1.442965473,0.580446086,0.336917921,1.615065207,1.024254189,1.257521215
9,0.96908584,0.868879826,0.913767621,0.906393755,1.006929034,0.969628663,0.967240344,1.081211373,0.843251884,1.200408668,0.874030356,1.057152868,0.938056084,0.981335074,0.879687149,0.95772801,0.976319393,0.897518929,0.892782261
10,0.840023737,0.77995281,0.918753131,0.957540243,0.961408263,0.735045686,0.829655673,0.935808814,0.910254667,1.400861959,0.786384141,1.126703635,0.780419636,0.897761992,0.801750275,0.876860325,0.794497528,1.002194348,1.059243959
11,1.136115907,0.955254145,1.194014692,1.27462057,0.921454441,1.049128737,1.217414551,1.38623123,0.842592066,0.88671538,0.865425105,1.136241046,1.195054872,1.085321754,0.966173612,0.919366208,1.097976533,0.767731351,1.20287857
12,1.254375976,1.295370673,0.521485617,2.028110814,1.184392073,1.147417936,0.576657308,0.563031709,0.745631153,0.648169983,0.958436579,0.683152401,0.608955158,0.842720325,1.222410934,1.205505827,1.027824909,1.401648801,0.958198602
13,0.807835423,0.545963339,0.337175368,0.661034049,0.702559438,1.04308579,0.866915128,0.998613958,0.7848725,1.127047582,1.145050258,1.17147688,0.604276431,1.16274597,0.966726511,0.796766814,1.104740798,1.553975665,0.778742238
14,1.827493615,1.074708847,1.006209238,0.919889405,1.197940919,1.232929912,1.221394645,1.004175098,1.088844253,0.99394952,0.978351727,0.925698311,0.723511056,1.021361523,0.964143994,0.904471259,1.173432546,0.769679297,1.1857018
15,1.021147046,1.137049617,1.101274558,1.089100446,0.811904454,0.902869384,1.046971867,0.980804507,1.031426209,0.995980756,1.108437277,0.926415579,1.05949976,0.978447077,0.878358362,0.986335446,0.876505536,1.005408037,1.005506873
16,1.025491027,1.089901416,0.846723984,1.147794764,0.828218491,1.057035378,1.079563326,0.975897893,1.233114316,1.197816818,1.100437889,1.056871851,1.156116047,0.918333551,0.757374863,0.897004602,0.970895858,0.976880149,0.983571227
