,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136
Name,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000
1,0.550477799,0.467644352,0.563739808,1.454061874,0.458295147,0.53444637,0.944821956,2.392502855,0.39102472,0.439658288,0.490489836,0.456171829,1.761970246,0.739571933,0.77889764,1.578435933,0.566885987,2.71395537,0.847082537,0.806738982,0.922755949,0.417866883,0.34252211,0.614149158
2,0.609421562,0.906026404,0.764500844,0.932673754,0.82060128,0.763404338,0.752180146,0.969803079,1.018836732,0.640545758,0.569121584,0.938435119,0.818115857,0.812225745,0.646662067,0.820606299,0.97482186,0.798902072,0.761739868,0.620454043,1.220719347,0.889322664,0.664668865,0.922564805
3,0.845185037,0.91193156,1.115949334,1.328930692,1.166026895,0.524379694,0.433447514,1.401133028,0.770574116,1.522590153,0.540081421,0.991876374,0.872578281,1.373754907,1.436574277,1.580779331,1.351476326,1.448829903,0.715776185,1.182663475,1.221715647,0.749111055,0.388769889,1.346171593
4,1.526908022,0.939790767,1.060139968,1.18293339,0.615666671,1.26831213,0.676637106,1.289251655,1.60834639,1.083671209,0.37806644,0.80803291,0.637682377,0.443480863,0.620712934,1.064763876,0.711545806,1.000652903,0.750050434,0.881710107,0.743438956,1.7517591,0.698954268,0.983322713
5,1.01460097,0.986921217,1.116174082,0.919434535,0.873696295,1.181214651,0.960582928,0.889008474,1.554008923,1.072454164,1.078511165,1.116088283,0.938542468,1.058523697,1.14963813,1.103195445,1.171901051,0.776474587,1.013380124,0.996934008,1.086989537,0.828642414,0.989128224,1.024860947
6,1.054882747,0.853144063,1.091108779,0.96945761,0.93627088,1.107901143,0.910987718,1.026918138,0.906998689,1.09293862,1.041593985,0.979356538,1.01670509,1.003958102,0.87920033,0.90431147,0.877754368,0.904771462,0.991667567,0.866456883,0.98396323,0.932299155,0.892721966,0.928049289
7,0.637770155,1.892933372,0.762054697,0.706920049,1.524873952,0.824145254,1.308018657,0.8005208,0,1.500711337,1.285532279,1.238387726,0.641465384,0.738981425,0.779147963,1.176258304,0.79659654,1.178231247,0.526710952,0.713116133,1.088258205,0.959354074,1.12297483,0.690263576
8,0.708721473,0.710632885,0.608505946,0.124613078,0.938459791,0.746264893,1.034239403,0.197831189,0.433732054,0.674974052,0.575409689,0.735807482,0.70318164,0.551174218,0.629253231,0.334152395,1.082470949,0.426171232,0.85964822,1.331867424,0.633300118,1.097271286,1.174183315,1.251902952
9,0.99382109,0.960865205,1.016870692,0.848221825,0.955861077,1.01159616,0.868851411,0.922621535,0.877170376,0.955846515,0.944700054,0.947058517,1.078464446,0.976231332,0.975670679,0.902211403,0.959800092,0.868272293,0.920171457,0.98856201,0.943548222,0.892910395,0.92606365,0.917043508
10,0.667400536,0.76075623,0.815969069,0.848068196,0.765038832,0.786679383,0.750668482,0.878200515,0.828284585,0.650891462,0.730219149,1.021374896,0.821074325,0.818214051,0.810320371,0.939403468,0.97681351,0.960682789,0.853686412,0.836034135,0.902439746,0.804590174,0.756005967,0.989586992
11,0.816137425,1.150658336,1.139577712,0.897561839,0.886318925,0.862465563,0.758142992,0.893418008,1.120078751,0.728295051,0.818495029,1.022553384,1.110702618,0.939866936,1.307358417,0.826030675,0.703882689,1.096965735,1.121623149,1.255253516,1.025197383,1.16858878,0.976544486,1.160471997
12,1.487308086,0.839377596,0.824962414,0.938142246,1.830246206,0.631202907,1.534951394,0.85846757,0.645439765,1.203072093,1.144903834,0.480124101,0.961337668,0.759008798,0.695794275,0.772645687,1.912937365,0.66405771,0.916034125,0.567591786,0.914636321,0.816996363,0.558927913,0.751351267
