,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
16-HETE,1.260147154,3.401297075,0.500993721,0.783919298,0.964137923,0.462372857,0.660670739,0.3575928,1.099617958,0.723970082,0.414429333,2.11950605,0.507398222,0.62149672,0.81123916,1.239354897,0.979802918,0.785648921,0.471604106,0.550477799,0.467644352,0.563739808,1.454061874,0.458295147,0.53444637,0.944821956,2.392502855,0.39102472,0.439658288,0.490489836,0.456171829,1.761970246,0.739571933,0.77889764,1.578435933,0.566885987,2.71395537,0.847082537,0.806738982,0.922755949,0.417866883,0.34252211,0.614149158,0.99017757,0.972938725,1.016972198,1.007403642,0.991758707,1.014456057
Myristoylcarnitine,0.956925276,1.082819777,0.733474247,1.021746578,0.61707924,0.686858411,1.043521772,0.930380608,1.151767986,1.48407677,0.992594072,1.240913065,0.858173573,0.874227355,0.933329565,1.015803997,0.872217517,1.125715137,1.059177861,0.609421562,0.906026404,0.764500844,0.932673754,0.82060128,0.763404338,0.752180146,0.969803079,1.018836732,0.640545758,0.569121584,0.938435119,0.818115857,0.812225745,0.646662067,0.820606299,0.97482186,0.798902072,0.761739868,0.620454043,1.220719347,0.889322664,0.664668865,0.922564805,0.989949496,0.990147458,0.990407823,1.008813741,1.004111315,1.034675534
Propionylcarnitine,0.870698819,0.422294294,0.948610291,0.998634525,1.000732009,1.016435831,0.482776036,0.510469563,0.890427209,0.80278671,0.564347607,0.417462742,0.519154302,0.550738841,1.100421893,0.7235365,0.791449349,1.549401113,1.599486045,0.845185037,0.91193156,1.115949334,1.328930692,1.166026895,0.524379694,0.433447514,1.401133028,0.770574116,1.522590153,0.540081421,0.991876374,0.872578281,1.373754907,1.436574277,1.580779331,1.351476326,1.448829903,0.715776185,1.182663475,1.221715647,0.749111055,0.388769889,1.346171593,0.960688658,1.012670283,1.011304204,0.985990555,1.055607322,0.987894129
Octadecenoic acid,1.003790093,0.866955327,0.601696246,1.192503393,0.419886568,0.994705709,0.858692704,1.074691927,0.780893702,1.753671568,1.093421277,1.632711894,1.981331638,1.396498932,0.821142727,0.792324936,0.746398607,0.707468723,1.192107372,1.526908022,0.939790767,1.060139968,1.18293339,0.615666671,1.26831213,0.676637106,1.289251655,1.60834639,1.083671209,0.37806644,0.80803291,0.637682377,0.443480863,0.620712934,1.064763876,0.711545806,1.000652903,0.750050434,0.881710107,0.743438956,1.7517591,0.698954268,0.983322713,1.013291739,0.984247341,0.794342271,1.014959916,0.987655181,0.985802756
Methyladenosine,0.927159804,1.013793169,0.832502296,0.856144251,1.347740724,1.011758935,0.922888543,0.972960558,1.170020037,1.281251675,0.811812168,0.949134563,0.834317477,0.978837662,0.76641507,1.134990788,1.008226267,0.716640085,0.92777702,1.01460097,0.986921217,1.116174082,0.919434535,0.873696295,1.181214651,0.960582928,0.889008474,1.554008923,1.072454164,1.078511165,1.116088283,0.938542468,1.058523697,1.14963813,1.103195445,1.171901051,0.776474587,1.013380124,0.996934008,1.086989537,0.828642414,0.989128224,1.024860947,0.95884879,1.049848023,1.003933789,1.007277093,0.99291243,1.007132979
Oleoylglycerophosphoinositol,1.012809808,0.997247491,0.786676729,0.83237707,0.977995033,0.795755687,0.867443055,1.038443515,1.037676897,1.176607428,0.782323592,0.960421776,0.919585958,0.903644833,0.917327829,0.928537792,0.9545128,0.85598821,0.907354616,1.054882747,0.853144063,1.091108779,0.96945761,0.93627088,1.107901143,0.910987718,1.026918138,0.906998689,1.09293862,1.041593985,0.979356538,1.01670509,1.003958102,0.87920033,0.90431147,0.877754368,0.904771462,0.991667567,0.866456883,0.98396323,0.932299155,0.892721966,0.928049289,0.905568725,1.009880065,1.009098099,1.009163109,0.999339031,1.009018421
2-AMINOETHYL DIHYDROGEN PHOSPHATE,1.1185581,0.64345053,0.44110207,0.574609374,0.74819685,0.515310244,0.982944998,1.238024914,0.295366224,0.791384708,0.772896316,0.540502269,0.793325849,0.788599417,0.649579573,1.303607365,0.889015501,0.4753987,0.776377789,0.637770155,1.892933372,0.762054697,0.706920049,1.524873952,0.824145254,1.308018657,0.8005208,0,1.500711337,1.285532279,1.238387726,0.641465384,0.738981425,0.779147963,1.176258304,0.79659654,1.178231247,0.526710952,0.713116133,1.088258205,0.959354074,1.12297483,0.690263576,1.014504651,1.026068791,1.028534973,1.02743889,0.885641713,0.947318921
Docosapentaenoic acid,0.529430887,0.755752201,0.3349487,1.185454889,0.596708294,1.904171707,0.658804464,1.182199511,0.111852039,1.596445636,1.322993782,2.390305591,1.138254863,1.442965473,0.580446086,0.336917921,1.615065207,1.024254189,1.257521215,0.708721473,0.710632885,0.608505946,0.124613078,0.938459791,0.746264893,1.034239403,0.197831189,0.433732054,0.674974052,0.575409689,0.735807482,0.70318164,0.551174218,0.629253231,0.334152395,1.082470949,0.426171232,0.85964822,1.331867424,0.633300118,1.097271286,1.174183315,1.251902952,1.006802712,0.915074016,0.999026404,0.985742277,1.012491654,1.016291912
4-AMINOBUTANOIC ACID,0.96908584,0.868879826,0.913767621,0.906393755,1.006929034,0.969628663,0.967240344,1.081211373,0.843251884,1.200408668,0.874030356,1.057152868,0.938056084,0.981335074,0.879687149,0.95772801,0.976319393,0.897518929,0.892782261,0.99382109,0.960865205,1.016870692,0.848221825,0.955861077,1.01159616,0.868851411,0.922621535,0.877170376,0.955846515,0.944700054,0.947058517,1.078464446,0.976231332,0.975670679,0.902211403,0.959800092,0.868272293,0.920171457,0.98856201,0.943548222,0.892910395,0.92606365,0.917043508,0.96638512,1.003371953,1.007578853,0.992569427,1.006880095,1.014505602
