Compound,16-HETE,Myristoylcarnitine,Propionylcarnitine,Octadecenoic acid,Methyladenosine,Oleoylglycerophosphoinositol,2-AMINOETHYL DIHYDROGEN PHOSPHATE,Docosapentaenoic acid,4-AMINOBUTANOIC ACID,4-O-Galactopyranosylxylose,5-AMINOPENTANOATE,5-Hydroxyindoleacetic acid,5-Methyldeoxycytidine,5'-METHYLTHIOADENOSINE,9-Octadecenal,Eicosatrienoic acid,12-HYDROXYDODECANOIC ACID,13-hydroxyoctadecanoic acid,14-Hydroperoxy-H4-neuroprostane,"17,21-DIHYDROXY-4-PREGNENE-3,20-DIONE",Trihydroxyvitamin D3,Acetylcarnitine,Acetylcholine,ADENINE,ADENOSINE,Adrenic acid,ALANINE,Arachidonic acid ethyl ester,ARGININE,Argininosuccinic acid,AZELAIC ACID,C16 Sphingosine,Campesterol,CARNOSINE,Cer(18:1/18:0),Cholesterol,CITRATE,CITRULLINE,CMP,CREATINE,Cysteineglutathione disulfide,CYTIDINE,Cytidine diphosphate choline (CDPcholine),CYTOSINE,D-Aspartic acid,DEOXYCARNITINE,DESMOSTEROL,DG(16:0/18:0/0:0),DG(20:2/0:0/22:6),DG(20:4/24:0/0:0),DG(22:0/0:0/20:4),Docosatrienoic acid,Dodecanoic acid,D-PANTOTHENIC ACID,dUMP,Ergothioneine,gamma-Glutamylglutamic acid,GLUTAMIC ACID,L-GLUTAMINE,GLUTATHIONE,Glycerophosphocholine,GLYCINE,GLYCOCHOLATE,GUANINE,Guanosine,HISTIDINE,Homoanserine,HYPOXANTHINE,INOSINE,JASMONATE,L-AMINOCYCLOPROPANE-1-CARBOXYLATE,LAUROYLCARNITINE,LEUCINE,Linolenelaidic acid,Methionine,L-OLEOYL-RAC-GLYCEROL,LYSINE,LysoPA(0:0/16:0),LysoPC(14:0/0:0),LysoPC(16:1/0:0),LysoPC(18:0),LysoPC(18:1),LysoPC(18:2),LysoPC(20:4),LysoPC(22:6),LysoPE(0:0/20:0),LysoPE(0:0/20:1),LysoPE(0:0/22:0),LysoPE(0:0/22:2),LysoPE(15:0/0:0),LysoPE(16:1/0:0),LysoPE(18:0/0:0),LysoPE(22:6/0:0),LysoPI(18:0/0:0),Lysyl-Leucine,Lysyl-Proline,METHACHOLINE,Methionine sulfoxide,Methyl linoleate,MG(0:0/22:6/0:0),N-(1-Deoxy-1-fructosyl)alanine,"N,N-dimethyl-Safingol",N1-Acetylspermidine,N-ACETYL-L-ASPARTIC ACID,N-ACETYLNEURAMINATE,"NE,NE,NE-TRIMETHYLLYSINE",NICOTINAMIDE,Cer(d18:1/16:0)( N-Palmitoylsphingosine),Octadecanamide,Octadecenoylcarnitine,OCTADECYLPHOSPHOCHOLINE,Oleamide,Oleic Acid ethyl ester,PA(17:0/0:0),PA(24:0/21:0),Palmitic Acid ethyl ester,Palmitoyl carnitine,PC(16:0/18:2),PC(22:2/20:5),PC(22:6/18:2),PC(24:1/18:4),PC(22:0/18:3),PC(16:0/20:1),PC(16:0/22:1),PC(18:0/20:4),PE(16:0/0:0),PE(17:1/0:0),PE(18:0/22:2),PE(19:1/0:0),PE(22:2/20:5),PE(22:4/15:0),PE(22:6/22:6),PE(24:0/22:4),PE(16:0/22:4),PE(16:0/0:0)-iso2,PHENACYLAMINE,PIPECOLINIC ACID,PS(18:1/0:0),PS(18:3/20:0),PS(18:3/22:0),PS(18:4/22:2),PS(20:1/20:0),PS(20:4/20:0),PS(20:4/22:0),Spermic acid,SPERMIDINE,Sphinganine,Succinyladenosine,TAURINE,TG(14:1/20:5/22:6),TG(18:4/18:3/18:4),Urea,Uric acid,Valyl-Asparagine,Vitamin A,XANTHINE,Cer(d18:0/18:1),Cer(d18:0/18:1)_iso2,Cer(d18:0/20:0),Cer(d18:0/22:0),Cer(d18:1/18:1),Cer(d18:1/18:1)_iso2,Cer(d18:1/20:0),Cer(d18:1/22:1),Cer(d18:1/24:1),Cer(t18:0/16:0),Dihydroceramide,C2-Dihydroceramide ,HexHexCer(d18:1/18:1),HexCer(d18:1/16:0),HexCer(d18:1/18:1),HexCer(d18:1/20:0),HexCer(d18:1/18:0),HexCer(d18:1/24:1),HexHexCer(d18:1/18:0),SERINE,CYSTEINE,Guanidylic acid (guanosine monophosphate),Uracil,Uridine
WT0,1.260147154,0.956925276,0.870698819,1.003790093,0.927159804,1.012809808,1.1185581,0.529430887,0.96908584,0.840023737,1.136115907,1.254375976,0.807835423,1.827493615,1.021147046,1.025491027,0.903964086,0.02852311,0.502120633,0.634964582,1.054394245,0.971112709,0.96865109,1.065508591,1.224086444,0.960908786,0.914780741,0.859220939,1.030030038,0.927625643,0.793358306,1.182540883,0.885985653,1.120793055,1.032150111,0.946655413,1.026280968,1.076358138,1.039061228,0.985429434,0.827487363,0.943945932,1.194012991,0.909945485,1.269582816,0.837797737,0.979246545,0.932323889,0.964309374,0.450260085,0.341805486,0.883770733,0.958876468,0.941770261,0.933079954,0.731316067,1.008080163,0.951249552,0.984262367,0.731152131,0.581558634,1.049775101,0.979404393,0.988286515,1.02272117,0.962063999,0.951251816,0.825191972,1.037344868,0.762302592,0.93677583,0.724741631,0.947834537,1.233731948,0.898437621,0.9253429,0.930136042,0.933601025,0.885385811,0.853865085,0.951568074,0.95459491,0.835528224,0.953361037,0.976051349,1.165848501,0.935731927,0.917080034,0.947679349,0.899404861,1.174754445,0.870523983,1.002240941,0.992726609,0.817439513,0.870554369,0.480404714,1.191878552,0.833084037,0.894928034,0.993452095,0.899280007,0.963310703,1.188239384,0.944749779,1.062916972,0.918566544,0.814292835,0.946800165,0.952137223,0.529310336,1.497020386,0.741316176,0.144046567,0.865731525,0.943130087,1.265036133,0.828678107,0.556644448,0.912951321,0.90935014,1.17117788,1.20853738,1.133199789,0.976589686,1.00454194,0.923761134,0.909178783,0.882520421,0.969507797,0.960616006,0.962701953,1.05298172,1.232547562,0.840225611,0.964173428,0.77567433,0.964254388,0.727734224,0.885742516,1.462596908,1.008142577,0.977106593,0.787843351,1.086056041,0.61813464,0.976046908,0.94152154,0.98397381,0.994046708,1.015352299,0.727078989,0.858614777,0.867093076,0.817372044,0.920900811,0.488741007,0.992633499,1.109082156,1.769236466,0.967359409,0.930984204,1.051749812,2.011835127,1.437901542,0.978915155,0.798295895,0.854740792,0.636343953,1.056376643,0.911509325,1.04214425,1.022201689,1.118069574,0.886626909,1.055396189,1.176101489,0.50778963,1.100713551,1.428174156
WT0,3.401297075,1.082819777,0.422294294,0.866955327,1.013793169,0.997247491,0.64345053,0.755752201,0.868879826,0.77995281,0.955254145,1.295370673,0.545963339,1.074708847,1.137049617,1.089901416,0.909731809,2.983930945,0.765094213,0.58569645,0.796571289,1.168658803,0.87556159,0.765452118,1.471098299,1.028612353,1.132145746,1.057301172,1.244668436,1.074771193,1.181088873,1.231378586,1.697529424,0.942804458,1.009069937,0.909340005,0.868575745,1.246047608,1.202411292,0.961974954,0.868728323,0.916855975,1.358000664,1.212140798,0.686710226,0.82740023,0.951289434,1.188459622,1.024108394,1.509969011,1.011393514,1.264073201,0.976577557,0.80745621,0.98763214,0.605960715,0.884156712,0.910651863,0.946096036,0.807048089,0.538871414,1.122571024,0.751209084,1.000570811,0.914572522,0.977918644,0.785670333,1.326334706,1.080586305,1.089464473,0.927130678,1.111130182,1.00889599,1.236962944,0.991586162,1.10450081,1.039907331,1.13015215,0.952583673,0.899750636,0.951128965,0.970573326,0.824457961,0.91439241,0.942530279,1.544428514,1.204476681,1.570920577,0.942790481,1.7863484,1.175302416,1.048117693,0.961867647,1.006625708,0.678815461,1.042367582,1.42014397,0.884680944,0.981578557,0.940891991,0.876467911,0.856537572,0.626585181,0.711203169,0.939976867,0.882489352,1.134831826,0.801517821,1.228457107,1.017474906,0.765975746,0.903458295,1.130429074,4.300096997,1.126759229,1.226609926,0.946890992,0.828953617,1.123613123,0.812812013,0.918055699,1.291669404,1.047089268,1.080046726,0.989415081,1.027318635,1.133984434,1.03223691,0.963256395,0.861593931,0.926106465,0.843678741,1.150529784,0.991434013,0.904600587,0.943953947,0.513635946,1.008194716,1.068803278,0.943525599,0.38843124,0.890520278,0.848638956,0.981741288,0.731476832,0.896968815,0.934897948,0.816823285,0.935540801,0.900237634,1.027383859,0.790900882,1.669045646,1.017157993,1.079233635,1.23359548,0.739950292,0.875507556,1.749608271,1.529140309,0.879954545,0.825463628,0.855837422,1.308915819,1.049956645,0.822185479,0.777867205,0.877020223,0.796181902,1.083491907,0.910328014,1.055374694,0.997155179,2.021366677,0.852120635,1.172020057,0.439062146,1.629673702,1.079691413,1.069535994
WT0,0.500993721,0.733474247,0.948610291,0.601696246,0.832502296,0.786676729,0.44110207,0.3349487,0.913767621,0.918753131,1.194014692,0.521485617,0.337175368,1.006209238,1.101274558,0.846723984,0.951742272,1.756375398,0.732450596,0.628567557,0.553563666,0.899719956,0.873525577,1.047245465,1.243584562,0.970697629,0.955579503,0.580555705,0.887901902,0.766618542,1.019207405,2.299875744,1.620921349,0.636855787,0.964179378,1.019069723,0.867687057,0.775766531,0.877411359,0.951844177,1.085463385,0.569468514,1.133922445,1.056090333,0.903250745,1.214961524,0.956626536,0.82865358,0.849107754,0.705761871,0.529752199,0.860303725,0.709201811,0.918334244,0.961911236,0.862293376,0.797816502,0.923760748,0.943591415,0.927680623,1.022648333,1.107405791,0.722737946,0.807270095,0.894597434,0.781290152,0.775313812,1.049618208,1.042794266,0.806604987,0.877339962,0.698172136,0.950781976,0.956115553,0.926188381,1.067172009,0.935125218,0.928520371,0.892950367,0.900271046,0.837585477,0.881091601,0.958683342,0.859536804,0.833171135,1.112736058,0.869871673,0.982535995,0.898973606,0.840224418,0.92111009,0.820994945,0.973951122,0.925875571,0.707710811,0.8224963,0.626761876,0.900486308,0.600896572,0.836227954,0.741708354,1.429800404,0.700508534,0.945073198,0.722381951,0.801528472,1.169396943,0.888479927,2.181675704,0.769536994,0.983817095,1.569449042,0.582638771,0.16634599,0.814231831,0.379597321,0.86761841,0.987834175,1.210138863,0.894690492,1.521867777,1.031368984,0.808603068,0.82307095,0.781819938,0.907937482,0.861338091,0.899057587,0.773071391,0.941163303,1.109604033,0.941973407,1.277817637,0.87981491,0.844061287,0.971553696,0.556253017,0.749296765,0.866924323,0.979353849,1.040099465,1.039977433,1.044564587,1.01098851,0.641963282,0.817542315,1.036556285,1.000828284,0.972275028,1.394631857,1.168365113,0.744373954,0.352745273,0.789211961,0.729614143,1.100493463,1.178844209,0.914550245,1.229139252,1.10965405,1.049247293,1.021837314,1.09902892,1.062006354,1.55637717,0.830495009,0.812899743,0.525608172,1.118283569,0.73102242,0.820657874,0.759086634,0.750738476,0.286670268,0.809434255,1.077842201,0.493463012,0.969496477,0.766777981,1.019998054
WT0,0.783919298,1.021746578,0.998634525,1.192503393,0.856144251,0.83237707,0.574609374,1.185454889,0.906393755,0.957540243,1.27462057,2.028110814,0.661034049,0.919889405,1.089100446,1.147794764,1.170051469,1.281916876,0.582898253,0.761362203,1.031087914,0.793108333,0.917661903,0.944763456,1.550974633,0.982511126,0.798218716,1.543085996,1.016183596,1.201606754,0.783823421,0.865459641,0.435886021,0.98918378,0.768294194,1.073015088,0.990993115,0.752005392,0.882344961,0.918148159,0.83444492,0.917094604,1.023046714,0.907952348,0.788968855,0.802031012,0.983392406,1.029105419,0.925587571,1.164682261,0.904583203,1.259859582,1.613265508,0.910268303,1.143454302,0.615205809,0.731790369,0.908924573,0.929886515,1.116571336,1.397971575,0.69270328,0.993381601,0.734183411,0.960875302,1.044942118,0.750279353,0.954481608,1.114108981,1.091715276,0.817666589,1.200898909,0.973780841,1.341379238,1.009577142,1.3116204,0.884697825,0.873578916,0.879147137,0.851369685,0.883835714,0.864413308,1.019317531,0.799494144,0.726243904,1.492437516,1.141214964,1.130392674,0.899809203,0.94800477,1.174702804,0.976688478,0.924691302,0.852606192,0.878950558,1.513579576,0.597657553,0.720557135,1.226935884,0.978752347,0.815290544,1.128090137,0.956572894,0.785371275,0.858142635,0.895663346,1.073204601,0.887563771,1.372164467,0.9791938,1.074887539,1.233068758,1.943118681,0.132401333,1.387102207,1.254795939,1.281185946,1.019855562,2.028772659,0.890981743,1.377915559,1.063934609,0.78673829,0.908714261,1.045563581,0.856321789,1.095601238,0.965451953,0.897835881,0.871403351,1.425382796,0.847459438,0.943403158,0.823926241,0.916582308,1.024100032,0.659708273,0.827910721,0.940761745,0.791341681,0.488552558,0.903507881,0.839578486,1.050115687,1.267599631,0.93153582,1.108473811,1.052038436,0.843134891,1.473827025,0.937894211,0.657056666,0.644847466,1.13259994,1.403933071,0.917199613,0.948046783,0.904242792,1.282232674,0.920950604,0.942717204,1.048605679,0.771766096,0.522367695,1.153869408,0.768030837,0.789179702,0.556492027,1.507637523,0.907876252,0.995719689,1.102406587,0.929332176,1.225103881,1.148968193,1.311406575,0.770905103,0.681624853,1.010827754,1.188439808
WT0,0.964137923,0.61707924,1.000732009,0.419886568,1.347740724,0.977995033,0.74819685,0.596708294,1.006929034,0.961408263,0.921454441,1.184392073,0.702559438,1.197940919,0.811904454,0.828218491,0.914440615,1.855435279,0.787959874,0.374226789,0.934808271,0.705788219,0.972888386,2.138318881,1.948434106,0.857254117,0.831746297,0.864557264,0.923035224,0.95805998,1.07659627,1.200870385,1.226748886,0.775725249,1.002098782,0.934331159,0.841804814,0.553897129,1.390718826,0.958739953,0.720395918,0.737587159,1.021903084,1.042600234,0.998620066,0.946757591,0.860538986,0.853363495,0.812849173,0.827870275,0.626752337,0.669283884,0.261398918,0.915112532,0.892238862,0.716497593,1.222823036,0.958141939,0.798084055,0.758267535,0.572076035,0.997657705,0.661363626,0.988920319,0.996057863,0.86528472,0.765874348,0.962074634,1.037027299,0.798914048,1.06412054,0.459443131,0.884008893,0.927275216,0.786620245,0.661368763,0.920040655,0.904625246,0.960896242,0.983778533,0.844033581,0.946144256,0.805245659,1.051870011,1.110192146,1.050817427,0.703601056,0.983145404,0.764074369,0.743776685,0.898426938,0.899779421,0.976268448,1.279396206,0.607682038,1.697142368,2.172527083,0.613624805,0.771098253,0.934088844,0.973959678,0.818741146,0.522073284,1.082190952,0.93364882,0.888422979,0.820759198,1.010796135,0.607619047,0.631248708,0.832654561,1.528419561,0.747119899,0.12198888,0.768090703,0.862545372,0.891471065,0.925362506,0.883271615,0.853692617,1.098803164,0.842646121,0.887409973,0.822088314,0.830083982,0.917884797,0.674195357,0.840766425,0.813517717,0.919936046,0.957507435,1.047435753,1.171150468,0.567236871,0.983670567,0.78568001,0.598207,0.695286734,0.83726387,1.013806641,0.338972038,1.015430886,1.027596973,0.603143153,0.916762745,0.649530971,0.97897032,1.134484278,1.032699253,0.986638869,0.964587697,0.885523245,0.644207604,0.681191199,0.922664993,1.081312207,1.300343496,1.088968771,0.452491306,1.253855189,1.062301399,0.990961236,1.294842253,1.601059371,1.203582987,0.853652505,0.841619776,0.589559467,0.660261221,0.67553131,0.862702417,0.775023204,0.848316384,0.295355136,0.744015367,1.099197951,0.445573952,3.204140974,0.905071166,1.057135675
WT0,0.462372857,0.686858411,1.016435831,0.994705709,1.011758935,0.795755687,0.515310244,1.904171707,0.969628663,0.735045686,1.049128737,1.147417936,1.04308579,1.232929912,0.902869384,1.057035378,0.903885822,2.592117075,0.811226311,1.6669991,0.722122829,0.568798383,1.152624064,0.878184343,1.178206344,1.048159503,1.148334832,1.67617253,0.924783371,0.925403832,1.297347402,1.016051745,0.856699484,0.851531762,0.848528949,0.963683334,1.080154672,0.762603635,0.806244894,0.939174732,0.987941349,0.589152157,0.511366944,1.004887082,0.859016745,1.010137121,1.019689733,0.81140371,0.98359788,0.395585045,0.350604119,0.973032262,0.454334412,1.68872144,1.047121783,0.734875327,0.757117112,0.943921962,0.8436853,0.770512635,0.56019436,0.704687976,0.704509191,0.811590793,0.999017426,0.890490188,0.754081109,1.048871334,1.001663601,0.861832964,0.976558184,0.621452763,0.982109792,0.85500065,0.960624928,1.160813497,0.960609467,0.794251247,0.957250683,0.986982419,0.836843384,0.977204782,1.202620625,0.929501362,0.993366366,0.856664435,0.833033089,0.851992416,0.829298797,0.762634337,0.871915274,1.018943042,0.973802407,0.848634159,0.607155514,1.787578975,3.340489337,0.701221194,1.240395891,0.891119071,0.855709424,1.364994124,1.05876007,0.920754272,0.821730804,0.870929924,1.068320676,1.083120972,0.716131702,0.758898568,1.004107463,0.415508764,2.046020462,2.812895912,0.997913092,1.469778153,0.75816427,0.931805345,1.301818111,0.793978052,1.758577515,0.609094927,0.855827655,0.830732685,0.851448662,0.862843494,0.941223605,0.896352597,0.823296782,0.874786542,1.548201401,1.032256312,1.419953339,0.845235616,1.014929607,0.895476594,1.614692891,0.850084506,0.765584453,0.980297902,1.161525516,1.070093432,1.119834872,1.089364665,0.74927213,0.879471776,0.95372729,1.02119114,0.897653275,0.802569458,1.282509668,0.877227003,0.606756214,0.889253697,1.610655448,1.156593959,0.773883628,1.024840198,1.211556078,1.0206947,0.835528446,0.980709981,1.355455649,1.306775803,3.246145371,0.720707647,0.881869311,0.50214347,0.997184727,0.947868211,0.863634161,0.961075406,0.878520793,0.127707133,1.234106238,1.068117561,0.563645535,0.792736127,1.074668046,1.290129655
WT0,0.660670739,1.043521772,0.482776036,0.858692704,0.922888543,0.867443055,0.982944998,0.658804464,0.967240344,0.829655673,1.217414551,0.576657308,0.866915128,1.221394645,1.046971867,1.079563326,0.8893917,0.008054104,0.708269698,0.405660593,1.156324233,0.792416197,0.926458759,0.648044054,0.911047702,1.121134212,1.015269828,0.87689298,0.948853921,0.979904541,0.835223835,1.062735259,1.233703428,0.819050164,0.873046579,1.088942215,0.924008831,0.620167328,0.907698464,0.992258205,0.7110616,1.055688733,0.854276101,0.993947846,0.842892335,1.008010558,1.002497443,0.984961682,1.046465332,0.909418825,0.590555101,0.999484795,0.644848759,0.838682769,1.051288626,1.07022248,0.96148046,0.939138653,0.821792664,0.841584578,0.82085978,1.08048252,1.099434446,0.766573692,0.966943066,0.973580192,1.131764415,1.012831925,1.086256489,0.859091657,0.96247489,1.141865728,0.944027357,1.135795693,0.971891932,1.039536588,0.951608173,1.058039664,0.885692477,0.999410632,0.922562704,1.065221521,0.889997941,1.018397174,0.979574635,1.030165286,0.994603432,0.565035684,0.954599838,0.935508482,1.090555939,1.053502162,0.980785104,0.828793061,0.838193708,2.070524583,0.729888589,0.748104435,0.72750789,0.925781609,0.866616389,1.038496928,1.256228836,0.868766762,0.881592028,0.912859022,0.905122906,0.91259334,1.741348689,1.083014077,1.072704091,1.633108643,0.870242151,0.301235454,0.976582852,0.727370622,1.085740358,0.789653913,0.516592745,0.827371866,1.514156531,0.76885491,0.888067357,0.928316661,1.152119859,0.968570257,1.072314328,0.892810178,1.005336487,0.919925531,1.246985803,0.934664824,1.006672757,1.130997492,1.141655906,0.915379879,0.811928897,0.99614921,1.00442523,1.004521993,0.791859436,1.138244382,1.07938263,1.210844923,1.048274317,1.059654064,0.940796909,1.041021148,1.01943893,1.139955725,0.953470035,0.811221429,0.671804084,0.929024837,0.998122504,0.959918699,0.973729244,1.065444837,1.144987582,0.988670372,1.04733927,1.124341413,1.087392232,0.830922732,1.282635817,0.610708737,0.729944092,0.587341789,1.101243077,1.063160168,1.040143613,1.131477693,0.893048651,0.566066915,1.029468727,1.261794569,0.547174236,0.266001444,1.087000932,1.462642752
WT0,0.3575928,0.930380608,0.510469563,1.074691927,0.972960558,1.038443515,1.238024914,1.182199511,1.081211373,0.935808814,1.38623123,0.563031709,0.998613958,1.004175098,0.980804507,0.975897893,0.793822659,2.136545443,0.782214096,0.28896885,1.178685347,1.406802336,0.966548632,0.938629897,0.789783936,1.212764986,1.013680376,1.227313421,1.063996926,0.928243126,0.866652334,1.038846459,0.984597426,1.298785336,1.002719967,1.007185234,1.200006452,1.094658847,0.743473899,0.979498392,0.456054818,1.048581974,0.656514661,0.99548776,0.790413293,1.205022631,0.98439973,1.084154018,0.922662365,0.986231255,0.848515893,1.049825329,0.654711586,1.102106677,1.062289147,0.898040937,0.814577297,0.948467631,0.956723346,0.654013671,0.757718795,0.881891194,1.058672116,0.589951762,0.816960269,1.118116435,0.84021419,0.95132944,1.049583469,0.798368931,0.988952662,0.869167612,1.022164624,1.236156796,1.052030507,0.788989441,0.991283192,1.002658497,0.908804666,0.969642281,0.925624436,1.056680976,0.969636472,1.167762096,1.075186926,1.197424502,0.950987367,1.154308833,0.963777994,0.953152301,1.078210586,1.00844261,1.040674992,0.995818063,1.019204866,2.378086769,1.091640606,0.594693272,1.087725583,1.08804946,0.990749694,0.737731344,1.080409595,0.808775933,0.951715601,1.032538123,1.185185303,1.06477046,1.204448758,1.063320959,1.072351328,1.593176155,1.282456825,0.336495977,1.029056726,1.152730916,1.263640803,0.93964947,0.247863568,1.046432604,1.26327006,1.018352636,0.861316559,0.872018221,1.034132806,0.968198877,0.918324272,0.934783329,1.011597814,1.063173682,1.04175259,0.99936345,0.844009855,1.110330636,0.865292307,0.955942725,0.680918255,0.837097138,0.926078998,1.01778177,1.019085086,1.053225281,0.947536816,1.159863902,0.738824639,1.120170409,0.983928138,0.91639689,0.88800281,1.275776772,0.823298836,0.842074969,1.621985135,0.980924381,1.266218314,0.935481421,0.831830665,1.028475226,0.804663193,0.732555265,1.022131597,0.998728797,1.120931709,0.529780276,0.950624252,0.890213302,0.778234008,1.069496575,0.90183701,1.007019222,0.917945718,1.059047563,0.916574245,1.036017913,1.075100651,1.374591589,0.601607302,0,1.126846492,1.368562486
WT0,1.099617958,1.151767986,0.890427209,0.780893702,1.170020037,1.037676897,0.295366224,0.111852039,0.843251884,0.910254667,0.842592066,0.745631153,0.7848725,1.088844253,1.031426209,1.233114316,0.934806696,0.032235974,1.542585473,1.945784934,0.751828909,0.851440108,1.029177481,1.21008388,1.066922164,0.911882199,1.074656981,0.200442444,0.992448749,0.739057805,0.946173464,1.270783714,0.980787672,1.208211166,0.733347302,1.134633536,0.765377137,0.707487673,0.965666801,0.946924464,0.43236877,0.973892879,0.803591756,1.041244598,0.822240113,1.095883621,0.944552248,0.917273557,0.909020779,1.494564473,1.678491347,1.294192471,0.4920045,1.296642089,1.009941937,0.894574815,0.730430135,0.958693168,0.960663931,0.541660133,0.806085122,0.966326165,1.221730511,0.736412247,0.8133661,0.90650047,0.90831748,0.9432573,1.17144226,0.974318522,0.938176232,1.487962758,0.856284475,0.821427657,0.891934623,0.869448956,0.793346653,1.008900756,1.030003692,0.935047067,0.938090433,0.965362421,0.888690306,0.982864447,0.862198371,1.302366208,1.127472131,1.299258999,0.785581915,0.940929927,0.788604538,1.000979042,0.91054296,0.793611045,0.927560744,0.333484586,3.110557526,0.877763979,0.151273927,0.982894567,0.777058084,0.817152587,0.752522921,0.820008564,0.850994609,1.004123803,0.854900636,0.62278776,1.134774052,1.138621475,0.987786886,1.190192918,0.099238397,0.556558855,1.242037498,0.059664155,0.905985867,1.108936845,1.600377713,0.957201423,1.277828099,1.005353399,0.991801509,0.994944382,1.329240402,0.926242021,0.964568088,1.112932438,0.969608633,0.81535636,1.023148476,0.780087432,1.188241314,0.872859705,0.913330388,0.778997115,0.501261829,0.69727524,1.149157036,0.988278137,0.70533585,0.900159165,0.894458272,1.343417645,0.539697442,0.482310521,0.979519251,0.826095117,1.140891349,2.259641262,0.851217862,0.75889714,0.770269926,0.957878611,0.152895357,0.912119715,1.661145921,0.906613833,1.75861926,1.628485188,0.880338658,0.843305748,0.720898572,2.040242672,1.07888745,0.732725204,0.741146759,0.920386493,0.861178087,1.098656226,1.290127114,0.909504905,0.995278514,0.974166183,0.850233903,0.956483946,0.492592278,0.130271991,0.893117563,1.213811865
WT1000,0.723970082,1.48407677,0.80278671,1.753671568,1.281251675,1.176607428,0.791384708,1.596445636,1.200408668,1.400861959,0.88671538,0.648169983,1.127047582,0.99394952,0.995980756,1.197816818,1.072820332,0.012156967,0.747240122,0.330206452,1.331254936,1.146376528,1.210256045,1.202656244,1.354003147,1.528573355,1.062253425,1.751955075,1.210189707,1.266052826,0.650571775,1.209095958,0.459996946,1.243791087,1.109595264,1.098576218,0.792753348,1.176135344,1.096632091,1.034209233,0.75918969,1.344104751,0.688354,1.931724273,0.838080485,1.297622789,1.159755963,1.212602676,1.122369649,1.057449769,1.128395554,1.159116828,1.126844459,1.852656357,1.022849223,1.022918972,0.9322113,1.070620761,1.168247842,0.713339116,0.642023336,1.184842693,1.40206077,1.029252063,1.191432549,1.164100658,1.126327464,1.166043722,1.17068518,0.955346514,1.118629393,1.353017365,1.247123168,1.596443476,1.433574072,1.263446702,1.376468761,1.001149663,0.919883024,0.998095983,1.10990963,1.18206877,1.312450863,1.367894582,1.151918503,1.446172403,1.217018309,1.638814303,1.11462412,1.075492108,1.429751538,1.1710544,1.096611375,0.853303844,1.500394176,2.030844041,3.662418818,0.811691027,1.273072003,1.115643417,1.213428702,0.681663792,1.012656295,0.833842269,1.124699318,1.248672015,0.975494079,1.66937082,1.356823983,1.432341591,1.46864878,0.95398651,2.162610888,0.537369632,1.134938123,1.682150914,1.804208753,0.754649554,2.374280266,1.059280489,1.343691559,0.793606487,0.69605071,0.662106983,1.416917986,1.105026858,1.236158152,1.235311774,1.322568949,1.159689871,1.307339751,1.060521818,0.57833057,0.774148217,1.037968733,1.477198045,0.91101071,1.033462512,0.775101127,1.074036602,1.539097985,1.024798406,0.939064875,1.347072984,1.317619427,2.036990697,0.964319519,0.942645931,1.116987612,0.511313819,0.568880486,1.025805196,1.215316926,1.232460052,1.659240911,1.305732763,0.703229784,1.234220535,0.826581026,0.505326666,1.253115503,1.252098112,1.211093535,0.318130234,0.710266052,1.419734254,0.947900233,0.843222274,1.239676381,1.157100069,1.29630054,1.136851434,1.051528584,1.306945898,1.114218119,1.268111915,0.902419931,0.913361,1.258613484,1.270997816
