Feature.name,CFTg107,CFTg121,CF95,FTg133,F141,CFTg135,CF108,CF92,FTg125,F138,CFTg91,CF100,CFTg134,CFTg89,FTg117,F116,F112,FTg113,FTg118,FTg126,FTg130,CF104,FTg119,CFTg136,F109,CFTg123,F129,CF98,CF93,CFTg99,F137,CFTg120,F114,CFTg106,FTg115,CF94,FTg140,CFTg122,CF101,FTg127,CF97,FTg124,F132,QC3,QC4,QC5,QC6,QC7,QC8
,Tg1000,Tg1000,WT1000,Tg0,WT0,Tg1000,WT1000,WT1000,Tg0,WT0,Tg1000,WT1000,Tg1000,Tg1000,Tg0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,WT1000,Tg0,Tg1000,WT0,Tg1000,WT0,WT1000,WT1000,Tg1000,WT0,Tg1000,WT0,Tg1000,Tg0,WT1000,Tg0,Tg1000,WT1000,Tg0,WT1000,Tg0,WT0,QC,QC,QC,QC,QC,QC
v1,0.566885987,0.847082537,0.507398222,0.490489836,1.099617958,0.34252211,0.471604106,0.723970082,0.944821956,0.3575928,0.739571933,1.239354897,0.417866883,1.761970246,0.563739808,0.783919298,3.401297075,0.550477799,1.454061874,2.392502855,0.439658288,0.785648921,0.458295147,0.614149158,1.260147154,0.922755949,0.964137923,0.81123916,0.414429333,0.77889764,0.660670739,2.71395537,0.500993721,1.578435933,0.467644352,2.11950605,0.456171829,0.806738982,0.979802918,0.39102472,0.62149672,0.53444637,0.462372857,0.99017757,0.972938725,1.016972198,1.007403642,0.991758707,1.014456057
v2,0.97482186,0.761739868,0.858173573,0.569121584,1.151767986,0.664668865,1.059177861,1.48407677,0.752180146,0.930380608,0.812225745,1.015803997,0.889322664,0.818115857,0.764500844,1.021746578,1.082819777,0.609421562,0.932673754,0.969803079,0.640545758,1.125715137,0.82060128,0.922564805,0.956925276,1.220719347,0.61707924,0.933329565,0.992594072,0.646662067,1.043521772,0.798902072,0.733474247,0.820606299,0.906026404,1.240913065,0.938435119,0.620454043,0.872217517,1.018836732,0.874227355,0.763404338,0.686858411,0.989949496,0.990147458,0.990407823,1.008813741,1.004111315,1.034675534
v3,1.351476326,0.715776185,0.519154302,0.540081421,0.890427209,0.388769889,1.599486045,0.80278671,0.433447514,0.510469563,1.373754907,0.7235365,0.749111055,0.872578281,1.115949334,0.998634525,0.422294294,0.845185037,1.328930692,1.401133028,1.522590153,1.549401113,1.166026895,1.346171593,0.870698819,1.221715647,1.000732009,1.100421893,0.564347607,1.436574277,0.482776036,1.448829903,0.948610291,1.580779331,0.91193156,0.417462742,0.991876374,1.182663475,0.791449349,0.770574116,0.550738841,0.524379694,1.016435831,0.960688658,1.012670283,1.011304204,0.985990555,1.055607322,0.987894129
v4,0.711545806,0.750050434,1.981331638,0.37806644,0.780893702,0.698954268,1.192107372,1.753671568,0.676637106,1.074691927,0.443480863,0.792324936,1.7517591,0.637682377,1.060139968,1.192503393,0.866955327,1.526908022,1.18293339,1.289251655,1.083671209,0.707468723,0.615666671,0.983322713,1.003790093,0.743438956,0.419886568,0.821142727,1.093421277,0.620712934,0.858692704,1.000652903,0.601696246,1.064763876,0.939790767,1.632711894,0.80803291,0.881710107,0.746398607,1.60834639,1.396498932,1.26831213,0.994705709,1.013291739,0.984247341,0.794342271,1.014959916,0.987655181,0.985802756
v5,1.171901051,1.013380124,0.834317477,1.078511165,1.170020037,0.989128224,0.92777702,1.281251675,0.960582928,0.972960558,1.058523697,1.134990788,0.828642414,0.938542468,1.116174082,0.856144251,1.013793169,1.01460097,0.919434535,0.889008474,1.072454164,0.716640085,0.873696295,1.024860947,0.927159804,1.086989537,1.347740724,0.76641507,0.811812168,1.14963813,0.922888543,0.776474587,0.832502296,1.103195445,0.986921217,0.949134563,1.116088283,0.996934008,1.008226267,1.554008923,0.978837662,1.181214651,1.011758935,0.95884879,1.049848023,1.003933789,1.007277093,0.99291243,1.007132979
v6,0.877754368,0.991667567,0.919585958,1.041593985,1.037676897,0.892721966,0.907354616,1.176607428,0.910987718,1.038443515,1.003958102,0.928537792,0.932299155,1.01670509,1.091108779,0.83237707,0.997247491,1.054882747,0.96945761,1.026918138,1.09293862,0.85598821,0.93627088,0.928049289,1.012809808,0.98396323,0.977995033,0.917327829,0.782323592,0.87920033,0.867443055,0.904771462,0.786676729,0.90431147,0.853144063,0.960421776,0.979356538,0.866456883,0.9545128,0.906998689,0.903644833,1.107901143,0.795755687,0.905568725,1.009880065,1.009098099,1.009163109,0.999339031,1.009018421
v7,0.79659654,0.526710952,0.793325849,1.285532279,0.295366224,1.12297483,0.776377789,0.791384708,1.308018657,1.238024914,0.738981425,1.303607365,0.959354074,0.641465384,0.762054697,0.574609374,0.64345053,0.637770155,0.706920049,0.8005208,1.500711337,0.4753987,1.524873952,0.690263576,1.1185581,1.088258205,0.74819685,0.649579573,0.772896316,0.779147963,0.982944998,1.178231247,0.44110207,1.176258304,1.892933372,0.540502269,1.238387726,0.713116133,0.889015501,0,0.788599417,0.824145254,0.515310244,1.014504651,1.026068791,1.028534973,1.02743889,0.885641713,0.947318921
v8,1.082470949,0.85964822,1.138254863,0.575409689,0.111852039,1.174183315,1.257521215,1.596445636,1.034239403,1.182199511,0.551174218,0.336917921,1.097271286,0.70318164,0.608505946,1.185454889,0.755752201,0.708721473,0.124613078,0.197831189,0.674974052,1.024254189,0.938459791,1.251902952,0.529430887,0.633300118,0.596708294,0.580446086,1.322993782,0.629253231,0.658804464,0.426171232,0.3349487,0.334152395,0.710632885,2.390305591,0.735807482,1.331867424,1.615065207,0.433732054,1.442965473,0.746264893,1.904171707,1.006802712,0.915074016,0.999026404,0.985742277,1.012491654,1.016291912
v9,0.959800092,0.920171457,0.938056084,0.944700054,0.843251884,0.92606365,0.892782261,1.200408668,0.868851411,1.081211373,0.976231332,0.95772801,0.892910395,1.078464446,1.016870692,0.906393755,0.868879826,0.99382109,0.848221825,0.922621535,0.955846515,0.897518929,0.955861077,0.917043508,0.96908584,0.943548222,1.006929034,0.879687149,0.874030356,0.975670679,0.967240344,0.868272293,0.913767621,0.902211403,0.960865205,1.057152868,0.947058517,0.98856201,0.976319393,0.877170376,0.981335074,1.01159616,0.969628663,0.96638512,1.003371953,1.007578853,0.992569427,1.006880095,1.014505602
