,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
16-HETE,815.1796554,2222.33237,325.5398609,511.2806627,628.8144562,301.240666,426.6497791,233.40432,715.5044509,473.1788219,270.637601,1384.840858,328.2552761,405.353899,501.4852697,804.8217755,639.7173779,514.1070491,303.8309983,353.184162,305.4166761,359.3795008,953.6452328,297.9126734,346.921381,603.1315544,1563.208515,255.4772763,285.7798184,320.2569351,297.3971925,1151.31052,479.7386474,497.6854706,1032.439841,361.2218811,1773.238484,540.1380999,514.4590506,602.9083772,272.9699057,223.5315705,398.4978945,581.8914779,593.3836238,677.7659024,691.065437,694.637828,720.3376453
Myristoylcarnitine,4127.181559,4781.846919,3233.949799,4512.13643,2725.066423,3033.239417,4608.522842,4105.63104,5083.984858,6553.84537,4376.928031,5480.006048,3767.601819,3859.953439,4115.284575,4468.080244,3851.743464,4971.330502,4639.656746,2688.511102,3987.500268,3351.639464,4118.807388,3623.862212,3370.896143,3311.651727,4282.752998,4497.406285,2828.604972,2513.301133,4125.924392,3612.501683,3572.779223,2850.925706,3623.539881,4282.039321,3528.036223,3313.730029,2738.080013,5390.827315,3927.294059,2933.880394,4038.364644,3994.680488,4044.470398,4163.788837,4624.208459,4592.353116,5017.320331
Propionylcarnitine,126.9457678,63.26305702,137.292835,148.6634546,150.0369069,152.394521,71.14264797,76.39044567,133.5020115,120.3620459,82.3239431,62.95496019,76.08303162,77.45561942,164.3517805,108.4514842,118.7469147,232.3021613,231.1876819,123.0316246,135.2217697,167.2472248,191.3615758,172.1191427,75.45457,65.83569083,212.5428901,115.603446,231.5569509,79.73021482,147.86495,130.7169344,201.4343611,198.6106522,236.8883947,198.6240194,218.517962,107.3477174,174.8214792,182.6359866,112.3041019,58.52557151,202.1738809,125.2398947,147.4906283,166.2016338,130.3143761,171.2875725,151.0966808
Octadecenoic acid,477.8110719,413.8375184,286.1345067,567.6012302,199.8800009,473.4828888,403.944026,511.3263402,371.7108378,834.759873,520.3554375,777.1804281,941.5679789,664.7406188,388.0682833,377.049466,355.2908944,336.760026,565.0865226,726.8188547,447.3469481,504.6343232,563.0940398,293.0619472,603.7254021,322.0839725,613.6282079,765.5841103,515.8350471,179.9538669,384.6502254,303.5412612,211.0999779,295.463677,506.8350156,338.5665512,476.3185623,361.1459595,419.7001484,353.9007729,835.3668406,332.7070965,468.0687571,541.988652,445.1366851,325.006484,485.3644217,441.6934863,438.1309996
Methyladenosine,113.0612547,123.7182509,100.2341288,104.6080552,164.4692455,123.3618126,112.8273938,119.9871499,142.7939859,156.4359752,99.24991625,115.8275869,101.789566,119.4150311,93.45497964,138.4510866,123.0408635,87.45329657,113.2260874,123.4281131,119.733779,136.138406,112.1022742,106.6028594,144.0567679,116.9503855,106.7851257,189.6268564,130.8411264,131.5659318,136.0396753,114.0686484,129.1752442,140.2284581,134.5408659,143.0108404,94.74320294,123.494373,121.4114833,131.9957267,100.9596563,120.6098019,125.0469864,109.5525031,136.4625422,118.5557343,120.2436252,122.0021079,123.5739619
Oleoylglycerophosphoinositol,1605.589851,1607.114664,1231.836719,1307.392439,1524.554349,1223.817029,1367.445833,1636.449302,1625.655725,1843.197796,1209.843305,1538.514259,1446.180733,1405.046118,1342.64194,1466.060004,1502.830146,1341.620437,1415.12427,1641.329267,1324.831928,1701.839724,1507.348436,1401.121265,1722.390826,1385.298217,1559.410394,1423.005255,1710.083027,1628.845457,1491.481829,1561.835187,1551.476391,1377.111751,1398.874373,1356.339545,1359.711243,1578.589129,1356.87941,1605.592025,1473.662831,1320.689069,1477.681375,1290.519909,1545.065783,1676.554362,1664.774537,1614.602984,1686.604749
2-AMINOETHYL DIHYDROGEN PHOSPHATE,39.0579535,30.3993621,20.80981445,27.90332794,34.90196967,24.30672455,46.37423273,60.58089971,15.1952404,37.33805799,36.20978076,25.49920702,39.71424127,37.13313596,30.56083679,61.49396369,39.25106765,22.29204652,37.72373933,30.08635319,85.43419183,35.94758654,33.3677063,70.76795625,38.88059235,61.70691571,37.94110927,0,70.79446835,60.09500528,56.34170635,30.26230645,34.74692512,36.7364925,55.4921766,37.58523548,55.47934162,24.40690613,33.64258623,45.5786225,45.25937581,53.01823242,31.14436388,34.64329505,62.42625127,57.2185616,59.50937649,30.1679306,28.53284251
Docosapentaenoic acid,79.8659323,111.8584932,51.05886841,180.7226229,88.7864275,290.291016,99.97726664,180.3944891,17.05184573,243.3781702,201.6904296,364.4021367,173.5674666,219.9819587,88.43271108,51.36298789,246.2831423,152.11258,191.7813458,107.8133788,106.204176,92.61436568,18.99726638,141.110224,113.3669247,156.4412848,30.1593689,66.12245576,102.8997965,87.70846955,111.1551028,107.1556907,84.02548064,91.03800964,50.94153946,164.6662763,64.96980298,131.0521519,203.7376838,96.45048661,161.7005768,178.8384967,189.5054847,146.6368799,120.4295412,134.3971777,134.4681034,157.6440475,175.0352614
4-AMINOBUTANOIC ACID,6373.167239,5750.370836,5995.314314,5951.689768,6665.501696,6419.015039,6402.71898,7157.683301,5582.391037,7946.795871,5748.302847,6998.428633,6172.717348,6496.460822,5820.883113,6197.088982,6469.069423,5941.642965,5910.294394,6579.135968,6360.99418,6664.203616,5615.292419,6327.833405,6624.732092,5608.474164,6107.762656,5806.923367,6324.320627,6154.676626,6269.598774,7139.51593,6462.638143,6433.832977,5972.664053,6353.944105,5745.257342,6087.023745,6544.350393,6239.766458,5911.135379,6089.095092,6070.819026,5953.958344,6521.852795,6499.95365,6525.572854,7146.37576,7289.666611
