Name,F109,F112,F114,F116,F129,F132,F137,F138,F141,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0
var1,1.260147154,3.401297075,0.500993721,0.783919298,0.964137923,0.462372857,0.660670739,0.3575928,1.099617958,0.550477799,0.467644352,0.563739808,1.454061874,0.458295147,0.53444637,0.944821956,2.392502855,0.39102472,0.439658288,0.490489836,0.456171829
var2,0.956925276,1.082819777,0.733474247,1.021746578,0.61707924,0.686858411,1.043521772,0.930380608,1.151767986,0.609421562,0.906026404,0.764500844,0.932673754,0.82060128,0.763404338,0.752180146,0.969803079,1.018836732,0.640545758,0.569121584,0.938435119
var3,0.870698819,0.422294294,0.948610291,0.998634525,1.000732009,1.016435831,0.482776036,0.510469563,0.890427209,0.845185037,0.91193156,1.115949334,1.328930692,1.166026895,0.524379694,0.433447514,1.401133028,0.770574116,1.522590153,0.540081421,0.991876374
var4,0.927159804,1.013793169,0.832502296,0.856144251,1.347740724,1.011758935,0.922888543,0.972960558,1.170020037,1.01460097,0.986921217,1.116174082,0.919434535,0.873696295,1.181214651,0.960582928,0.889008474,1.554008923,1.072454164,1.078511165,1.116088283
var5,1.1185581,0.64345053,0.44110207,0.574609374,0.74819685,0.515310244,0.982944998,1.238024914,0.295366224,0.637770155,1.892933372,0.762054697,0.706920049,1.524873952,0.824145254,1.308018657,0.8005208,0,1.500711337,1.285532279,1.238387726
var6,0.96908584,0.868879826,0.913767621,0.906393755,1.006929034,0.969628663,0.967240344,1.081211373,0.843251884,0.99382109,0.960865205,1.016870692,0.848221825,0.955861077,1.01159616,0.868851411,0.922621535,0.877170376,0.955846515,0.944700054,0.947058517
var7,1.136115907,0.955254145,1.194014692,1.27462057,0.921454441,1.049128737,1.217414551,1.38623123,0.842592066,0.816137425,1.150658336,1.139577712,0.897561839,0.886318925,0.862465563,0.758142992,0.893418008,1.120078751,0.728295051,0.818495029,1.022553384
var8,1.254375976,1.295370673,0.521485617,2.028110814,1.184392073,1.147417936,0.576657308,0.563031709,0.745631153,1.487308086,0.839377596,0.824962414,0.938142246,1.830246206,0.631202907,1.534951394,0.85846757,0.645439765,1.203072093,1.144903834,0.480124101
var9,0.807835423,0.545963339,0.337175368,0.661034049,0.702559438,1.04308579,0.866915128,0.998613958,0.7848725,0.905958297,1.497667825,0.817091371,0.980280368,0.909846857,0.929084012,0.701725768,1.124873366,0.091166923,0.94377769,1.251032692,1.180886417
