Metabolite,log2FC,neglogp,pval
Urea,0.31793,4.5652,2.72E-05
Adrenic acid,-0.2849,3.8885,0.00012928
OCTADECYLPHOSPHOCHOLINE,-0.75523,3.514,0.0003062
Methionine,-0.23417,3.3411,0.00045589
HexCer(d18:1/18:0),0.20625,3.3411,0.00045589
LysoPC(16:1/0:0),0.19323,3.1804,0.00066002
Octadecanamide,-1.0812,3.1804,0.00066002
Cer(d18:1/18:1)_iso2,-0.21294,2.8839,0.0013064
Cysteineglutathione disulfide,0.63686,2.744,0.0018032
CYTOSINE,-0.24477,2.744,0.0018032
LysoPC(14:0/0:0),0.13891,2.744,0.0018032
LysoPI(18:0/0:0),0.22152,2.4869,0.0032593
Ergothioneine,0.42627,2.2502,0.0056204
LysoPC(18:0),0.11742,2.2502,0.0056204
Methionine sulfoxide,0.44584,2.2502,0.0056204
Oleamide,-0.8389,2.2502,0.0056204
PE(16:0/22:4),0.54965,2.2502,0.0056204
Cer(d18:1/22:1),0.72631,2.2502,0.0056204
Guanosine monophosphate,1.0255,2.2502,0.0056204
ADENOSINE,-0.49792,2.1395,0.0072534
PC(24:1/18:4),-0.45896,2.1395,0.0072534
PC(16:0/20:1),0.285,2.1395,0.0072534
PHENACYLAMINE,-0.2058,2.1395,0.0072534
Vitamin A,-0.62259,2.0321,0.0092879
Cer(d18:1/16:0),-0.31135,1.9297,0.011758
PC(16:0/18:2),0.1685,1.9297,0.011758
HexHexCer(d18:1/18:0),0.324,1.9297,0.011758
Eicosatrienoic acid,-0.22351,1.8306,0.014772
D-Aspartic acid,0.27014,1.8306,0.014772
PS(20:4/22:0),-0.29935,1.8306,0.014772
5-AMINOPENTANOATE,-0.26195,1.7355,0.018385
GLUTAMIC ACID,0.047952,1.7355,0.018385
GLUTATHIONE,0.32771,1.7355,0.018385
LEUCINE,-0.12774,1.7355,0.018385
LysoPC(18:2),0.20822,1.7355,0.018385
Acetylcholine,0.22359,1.6437,0.022713
ADENINE,-0.65317,1.6437,0.022713
Dodecanoic acid,0.5436,1.6437,0.022713
gamma-Glutamylglutamic acid,0.24346,1.6437,0.022713
DESMOSTEROL,-0.082487,1.5556,0.027823
Homoanserine,0.21828,1.5556,0.027823
LysoPE(0:0/20:0),-0.44978,1.5556,0.027823
PC(16:0/22:1),0.19006,1.5556,0.027823
TG(18:4/18:3/18:4),0.19248,1.5556,0.027823
9-Octadecenal,-0.13202,1.4702,0.033865
N-ACETYL-L-ASPARTIC ACID,0.28822,1.4702,0.033865
PS(18:3/20:0),0.19294,1.4702,0.033865
PC(22:2/20:5),-0.93633,1.3883,0.040894
PC(22:6/18:2),0.088672,1.3883,0.040894
