Metabolite,log2FC,neglogp,pval
16-HETE,-0.46884,0.55702,0.27732
Myristoylcarnitine,-0.17914,0.77103,0.16942
Propionylcarnitine,0.2789,0.5086,0.31003
Octadecenoic acid,0.25929,0.60746,0.24691
Methyladenosine,0.080114,0.41743,0.38244
Oleoylglycerophosphoinositol,0.10534,0.89098,0.12853
2-AMINOETHYL DIHYDROGEN PHOSPHATE,0.52038,1.233,0.058483
Docosapentaenoic acid,-0.37006,0.15361,0.70209
4-AMINOBUTANOIC ACID,-0.0082766,0.064458,0.86207
4-O-Galactopyranosylxylose,-0.14265,1.3092,0.049073
5-AMINOPENTANOATE,-0.26195,1.7355,0.018385
5-Hydroxyindoleacetic acid,-0.00043747,0.037627,0.91701
5-Methyldeoxycytidine,0.333,1.1594,0.069282
5'-METHYLTHIOADENOSINE,0.18163,1.3092,0.049073
9-Octadecenal,-0.13202,1.4702,0.033865
Eicosatrienoic acid,-0.22351,1.8306,0.014772
12-HYDROXYDODECANOIC ACID,0.11118,0.5086,0.31003
13-hydroxyoctadecanoic acid,-1.3683,1.0202,0.095451
14-Hydroperoxy-H4-neuroprostane,-0.17637,0.41743,0.38244
"17,21-DIHYDROXY-4-PREGNENE-3,20-DIONE",0.3525,0.037627,0.91701
Trihydroxyvitamin D3,0.28271,1.0202,0.095451
Acetylcarnitine,-0.0067007,0.064458,0.86207
Acetylcholine,0.22359,1.6437,0.022713
ADENINE,-0.65317,1.6437,0.022713
ADENOSINE,-0.49792,2.1395,0.0072534
Adrenic acid,-0.2849,3.8885,0.00012928
ALANINE,-0.095337,0.60746,0.24691
Arachidonic acid ethyl ester,-0.4861,1.0886,0.081543
ARGININE,-0.063223,0.29424,0.50788
Argininosuccinic acid,0.018986,0.092694,0.8078
AZELAIC ACID,-0.058412,0.25665,0.55379
C16 Sphingosine,-0.28784,0.82991,0.14794
Campesterol,-0.54034,0.65986,0.21885
CARNOSINE,-0.020702,0.012212,0.97227
Cer(18:1/18:0),0.065728,0.092694,0.8078
Cholesterol,-0.07247,0.82991,0.14794
CITRATE,-0.016565,0.064458,0.86207
CITRULLINE,0.21049,0.89098,0.12853
CMP,0.0026925,0.22069,0.6016
CREATINE,-0.008945,0.25665,0.55379
CySSG,0.63686,2.744,0.0018032
CYTIDINE,-0.21769,0.65986,0.21885
Cytidine diphosphate choline ,0.19987,0.37458,0.42211
CYTOSINE,-0.24477,2.744,0.0018032
D-Aspartic acid,0.27014,1.8306,0.014772
DEOXYCARNITINE,0.068662,0.29424,0.50788
DESMOSTEROL,-0.082487,1.5556,0.027823
DG(16:0/18:0/0:0),0.015512,0.15361,0.70209
DG(20:2/0:0/22:6),0.047972,0.33356,0.46391
DG(20:4/24:0/0:0),-0.4774,0.95447,0.11105
DG(22:0/0:0/20:4),-0.35425,0.65986,0.21885
Docosatrienoic acid,-0.087494,0.29424,0.50788
Dodecanoic acid,0.5436,1.6437,0.022713
D-PANTOTHENIC ACID,-0.12486,0.25665,0.55379
dUMP,-0.077829,1.0202,0.095451
Ergothioneine,0.42627,2.2502,0.0056204
gamma-Glutamylglutamic acid,0.24346,1.6437,0.022713
GLUTAMIC ACID,0.047952,1.7355,0.018385
L-GLUTAMINE,0.037482,0.29424,0.50788
GLUTATHIONE,0.32771,1.7355,0.018385
Glycerophosphocholine,0.24587,1.1594,0.069282
GLYCINE,-0.029576,0.18638,0.65105
GLYCOCHOLATE,0.17288,0.65986,0.21885
GUANINE,0.2029,1.0886,0.081543
Guanosine,0.088099,0.37458,0.42211
HISTIDINE,0.056144,0.41743,0.38244
Homoanserine,0.21828,1.5556,0.027823
HYPOXANTHINE,-0.00066449,0,1
INOSINE,-0.092184,0.55702,0.27732
JASMONATE,0.1248,0.71443,0.19301
L-AMINOCYCLOPROPANE-1-CARBOXYLATE,-0.013269,0.18638,0.65105
LAUROYLCARNITINE,-0.29969,0.60746,0.24691
LEUCINE,-0.12774,1.7355,0.018385
Linolenelaidic acid,-0.072723,0.22069,0.6016
Methionine,-0.23417,3.3411,0.00045589
L-OLEOYL-RAC-GLYCEROL,-0.083966,0.18638,0.65105
LYSINE,0.063135,0.77103,0.16942
LysoPA(0:0/16:0),-0.030551,0.15361,0.70209
LysoPC(14:0/0:0),0.13891,2.744,0.0018032
LysoPC(16:1/0:0),0.19323,3.1804,0.00066002
LysoPC(18:0),0.11742,2.2502,0.0056204
LysoPC(18:1),-0.015595,0.29424,0.50788
LysoPC(18:2),0.20822,1.7355,0.018385
LysoPC(20:4),-0.12638,1.0886,0.081543
LysoPC(22:6),0.14299,1.233,0.058483
LysoPE(0:0/20:0),-0.44978,1.5556,0.027823
LysoPE(0:0/20:1),-0.09186,0.41743,0.38244
LysoPE(0:0/22:0),-0.40458,1.1594,0.069282
LysoPE(0:0/22:2),0.12815,1.1594,0.069282
LysoPE(15:0/0:0),-0.17192,0.25665,0.55379
LysoPE(16:1/0:0),-0.12137,0.41743,0.38244
LysoPE(18:0/0:0),0.0023836,0.12242,0.75437
LysoPE(22:6/0:0),-0.00091377,0,1
LysoPI(18:0/0:0),0.22152,2.4869,0.0032593
